영어,Day,형용사,동사,명사,전치사,부사
fertile,41,"비옥한, 기름진, 생식력 있는, 풍부한",,,,
disperse,41,,"흩어지게 하다, 전파하다",,,
military,41,군대의,,"군대, 군인들 ",,
postpone,41,,"미루다, 연기하다",,,
cluster,41,,"결합하다, 모이다","덩어리, 무리 ",,
regime,42,,,"제도, 정권",,
urgency,42,,,"긴급, 위급, 긴급한 일",,
zealous,42,"열성적인, 열심인",,,,
attraction,42,,,"매력, 명소",,
trust,42,,신뢰하다,신뢰 ,,
emergent,42,"창발적인, 새롭게 나타난, 신흥의",,,,
microbe,42,,,미생물,,
tiny,42,아주 작은,,,,
counterpart,42,,,"상응하는 것[사람], 상대방, (한 쌍의) 한쪽",,
wipe,42,,"일소하다, 쓸어 없애다, 닦아 없애다",,,
mineral,42,,,"광물, 무기물",,
continent,42,,,"대륙, 육지",,
progress,42,,"진행되다, 전진하다, 나아가다","발전, 진전, 나아감 ",,
amount,42,,,"양, 총액",,
habituate,42,,"익숙해지다, 습관 들게 하다",,,
primate,42,,,영장류,,
spoil,42,,"상하게 하다, 망치다",,,
advantage,42,,,"이점, 우위, 이익",,
threat,42,,,위협,,
negative,42,"부정적인, 소극적인, 음의, 마이너스의 ",,"부정, 부인, 음성",,
captivate,42,,"사로잡다, 현혹시키다",,,
intent,42,,,"의도, 의향",,
execution,42,,,"실행, 실시, 처형",,
compulsive,42,"강박적인, 충동적인",,,,
sway,42,,"흔들다, 영향을 주다",,,
purpose,42,,,"목적, 의도",,
frame,42,,"구성하다, 만들다 ","액자, 틀",,
narrator,42,,,"말하는 사람, 서술자, 내레이터",,
console,42,,"위로하다, 달래다",,,
wrestle,42,,"씨름하다, 싸우다",,,
compassionate,43,"인정 많은, 동정심 많은",,,,
equation,43,,,"방정식, 균등화",,
magnitude,43,,,"크기, 규모",,
response,43,,,"반응, 응답",,
buffer,43,,완화하다,"완충제, 완충 장치 ",,
inhabitant,43,,,"서식 생물, 주민, 거주자",,
diagram,43,,,"도식, 도해, 도표",,
improvise,43,,"즉흥적으로 연주하다, 즉석에서 만들다",,,
chemistry,43,,,"화학, 화학적 성질",,
straightforward,43,"간단한, 솔직한",,,,
recipe,43,,,조리법,,
desirability,43,,,바람직함,,
mobility,43,,,"기동력, 이동성",,
distribute,43,,"분배하다, 나누어 주다, 분포시키다",,,
inclination,43,,,"경향, 의향, 경사(도)",,
statesman,43,,,"정치가, 정치인",,
superstitious,43,"미신적인, 미신을 믿는",,,,
beneficial,43,유익한,,,,
neglect,43,,"도외시하다, 등한시하다, 소홀히 하다",,,
aware,43,"인식하고 있는, 알고 있는",,,,
prayer,43,,,"기도(문), 가망, 희망",,
bond,43,,결속시키다 ,유대,,
inspire,43,,"고취하다, 영감을 주다",,,
cohesion,43,,,"결합, 응집력",,
descent,43,,,"혈통, 하강, 전락",,
infant,43,,,"유아, 아기",,
dictate,43,,"지시하다, 결정하다, 받아쓰게 하다",,,
disparity,43,,,"격차, 차이",,
curiosity,43,,,호기심,,
nuance,43,,,"미묘한 차이, 뉘앙스",,
glacier,44,,,빙하,,
voyage,44,,항해하다,항해(기) ,,
flora,44,,,식물군,,
relentless,44,"맹렬한, 수그러들지 않는, 가차 없는",,,,
conceive,44,,"생각하다, 이해하다",,,
renowned,44,유명한,,,,
scorn,44,,"비웃다, 경멸하다 ","경멸, 멸시",,
passage,44,,,"통행, 통과",,
community,44,,,"공동체, 지역 사회",,
destiny,44,,,운명,,
scroll,44,,"(화면을) 넘기다, (화면을) 스크롤 하다",,,
deem,44,,"간주하다, 여기다",,,
insult,44,,"모욕하다, 무례하게 대하다","신체적 손상, 상해, 모욕 ",,
passive,44,"수동적인, 소극적인",,,,
bomb,44,,"폭탄으로 공격하다, 폭격하다 ",폭탄,,
discard,44,,"버리다, 폐기하다",,,
disposable,44,일회용의,,(보통 복수로) 일회용품 ,,
personnel,44,,,"(전)직원, (전)사원, 인사과",,
disinfection,44,,,"살균, 소독",,
prone,44,"취약한, 하기[당하기] 쉬운, 경향이 있는",,,,
fragment,44,,"산산이 부서지다, 분해하다, 분열하다","조각, 파편 ",,
favorable,44,"유리한, 호의적인",,,,
underscore,44,,"강조하다, 밑줄을 긋다",,,
lineage,44,,,"계통, 혈통",,
transaction,44,,,"거래, 계약",,
resilient,44,"탄력 있는, 회복력 있는",,,,
morale,44,,,"사기, 의욕",,
guideline,44,,,"지침, 가이드라인",,
leak,44,,"새게 하다, 새다","누출, 새는 곳, 새어 나옴 ",,
contest,44,,"논쟁하다, 이의를 제기하다 ","(경시)대회, 시합, 경쟁",,
weave,45,,"(이야기 등을) 짜다, 엮다, (옷감 등을) 짜다",,,
inferior,45,"열등한, (질이) 더 낮은",,,,
chunk,45,,,덩어리,,
unlock,45,,"풀다, (잠겨 있는 것을) 열다",,,
drawback,45,,,"결점, 단점, 약점",,
binary,45,"2진수의, 2진법의",,,,
breastfeed,45,,모유를 먹이다,,,
dairy,45,"유제품의, 낙농의",,,,
symmetry,45,,,"대칭, 균형",,
flammable,45,"불에 잘 타는, 인화성의",,,,
enlarge,45,,"크게 하다, 확장하다, 확대하다",,,
chew,45,,씹다,,,
necessitate,45,,~을 필요하게 만들다,,,
liberation,45,,,해방,,
displace,45,,"대체하다, 대신하다, (살던 곳에서) 쫓아내다",,,
steady,45,"안정적인, 꾸준한",,,,
resolve,45,,"해결하다, 결심하다",,,
depth,45,,,깊이,,
mutual,45,"상호적인, 상호 간의, 서로의",,,,
outcome,45,,,"결과(물), 성과",,
influential,45,"영향력이 큰, 영향력이 있는",,,,
breaded,45,빵가루를 묻힌[입힌],,,,
border,45,,접경하다 ,"국경, 경계",,
rebellious,45,반항적인,,,,
landmass,45,,,"광대한 땅, 대륙",,
clan,45,,,"일족, 씨족, 일문",,
hardy,45,"강인한, 강한",,,,
empirical,45,실증적인,,,,
auditory,45,"청각적인, 청각의",,,,
rationale,45,,,"근거, 이유",,
acoustic,46,"청각의, 음향의",,,,
congestion,46,,,혼잡,,
determinant,46,,,결정 요인,,
governance,46,,,통치,,
forgetfulness,46,,,"건망증, 소홀, 태만",,
fixate,46,,고정하다,,,
ensoul,46,,영혼을 불어넣다,,,
deteriorate,46,,"(질이) 떨어지다, 악화되다",,,
outstrip,46,,"능가하다, 앞서다",,,
literacy,46,,,"읽고 쓸 줄 아는 능력, 문해력",,
weird,46,"이상한, 기이한",,,,
mystical,46,"신비적인, 신비로운",,,,
rationality,46,,,합리성,,
appetite,46,,,"욕구, 식욕",,
entertainment,46,,,"오락(거리), 접대",,
trumpet,46,,열렬히[자랑스럽게] 알리다 ,트럼펫,,
insurmountable,46,"넘을 수 없는, 극복할 수 없는",,,,
emission,46,,,"배출(물), 배기가스",,
solitary,46,혼자 하는,,,,
advocacy,46,,,"지지, 옹호",,
mention,46,,언급하다,,,
energize,46,,"열정을 돋우다, 활력을 불어넣다",,,
dimension,46,,,"차원, 관점, 규모, 크기",,
executive,46,,,"임원, 중역, 고위직",,
fund,46,,자금을 대다,"기금, 자금 ",,
discontented,46,불만족한,,,,
treasured,46,소중한,,,,
donation,46,,,"기증, 기부(금)",,
grateful,46,감사하는,,,,
narrow,46,좁은 ,좁히다,,,
dangle,47,,매달리다,,,
confidence,47,,,자신감,,
resolution,47,,,"(굳은) 결심, 해결(책)",,
harness,47,,이용하다,장비 ,,
motivate,47,,동기를 부여하다,,,
heretofore,47,,,,,지금까지
falsehood,47,,,"거짓, 거짓말",,
pollute,47,,오염시키다,,,
cognitive,47,"인지적인, 인지의",,,,
misinformation,47,,,잘못된 정보,,
ambitious,47,"야심적인, 야심이 있는",,,,
subordinate,47,종속된,,부하 직원 ,,
preserve,47,,"유지하다, 보존하다",,,
illusion,47,,,"착각, 환영, 환상",,
conceal,47,,"은폐하다, 숨기다",,,
pupil,47,,,"제자, 학생, 눈동자, 동공",,
err,47,,실수하다,,,
definitive,47,"결정적인, 확정적인",,,,
excavate,47,,발굴하다,,,
prehistoric,47,선사 시대의,,,,
survey,47,,(설문) 조사하다,(설문) 조사 ,,
pronounced,47,뚜렷한,,,,
correspondent,47,,,"특파원, 통신원",,
literary,47,문학의,,,,
doctorate,47,,,박사 학위,,
receipt,47,,,영수증,,
expertise,47,,,"전문 기술[지식], 전문성",,
quantitative,47,"양적인, 정량적인",,,,
oriented,47,지향하는,,,,
attain,47,,"달성하다, 도달하다",,,
unsubstantiated,48,근거 없는,,,,
jug,48,,,"주전자, 항아리",,
neural,48,신경(계)의,,,,
interconnected,48,"상호 연결된, 서로 연결된",,,,
optimize,48,,최적화하다,,,
envision,48,,"구상하다, 마음속에 그리다, 상상하다",,,
radical,48,"급진적인, 극단적인, 근본적인, 철저한",,,,
aviation,48,,,항공,,
altitude,48,,,"고도, 해발",,
mortality,48,,,사망(률),,
halt,48,,"멈추다, 중단하다",,,
notification,48,,,"알림, 통고",,
inflammation,48,,,염증,,
ubiquitous,48,어디에나 있는,,,,
rite,48,,,의례,,
biodiversity,48,,,생물 다양성,,
linkage,48,,,"연결, 연관성",,
enforceable,48,"강제할 수 있는, 시행할 수 있는, 집행할 수 있는",,,,
roadblock,48,,,"방해물, 장애물, (도로) 바리케이드",,
causal,48,인과 관계의,,,,
association,48,,,"연관(성), 유대",,
upbringing,48,,,양육,,
societal,48,"사회적인, 사회의",,,,
ethnicity,48,,,민족성,,
exert,48,,"발휘하다, 행사하다",,,
portion,48,,,"일부, 부분",,
destination,48,,,목적지,,
sentence,48,,(형을) 선고하다,"판결, 선고, 문장 ",,
precious,48,"귀중한, 값비싼",,,,
declare,48,,"단언하다, (분명히) 말하다, 선언하다",,,
eagerly,49,,,,,"간절하게, 열렬하게, 열심히"
letdown,49,,,"실망, 감소, 감퇴",,
appointed,49,"약속한, 지정된",,,,
uniformity,49,,,"획일성, 균일성",,
deny,49,,"부인하다, 부정하다",,,
counterproductive,49,역효과를 낳는,,,,
array,49,,"진열하다, 배치하다 ","집합체, 배열",,
transition,49,,,"전환, 변환",,
mere,49,"단순한, 단지 ~에 불과한",,,,
trivial,49,"사소한, 하찮은, 진부한",,,,
amenity,49,,,(보통 복수로) 편의 시설,,
pleasant,49,"기분 좋은, 쾌적한",,,,
eventual,49,"최종의, 최후의",,,,
rehabilitation,49,,,"재활, 갱생",,
basis,49,,,"기준, 이유, 근거",,
via,49,,,,"~을 통하여, ~을 경유하여",
premise,49,,,전제,,
adhere,49,,"고수하다, 신봉하다",,,
inductive,49,귀납적인,,,,
shortcut,49,"손쉬운, 간단한",,"지름길, 쉬운 방법 ",,
drive,49,,"몰아가다, 만들다 ",추진력,,
evaluation,49,,,평가,,
crave,49,,"갈망하다, 간절히 원하다",,,
upright,49,"(도덕적으로) 올바른, 정직한 ",,,,똑바르게
by-product,49,,,부산물,,
investigate,49,,"조사하다, 연구하다",,,
census,49,,,인구 조사,,
verify,49,,"확인하다, 입증하다",,,
novel,49,"새로운, 참신한 ",,소설,,
proclaim,49,,"공언하다, 선언하다",,,
selective,50,"선택적인, 까다로운",,,,
literature,50,,,"문학 작품, 문학, 문헌",,
vicious,50,"사나운, 잔인한",,,,
organ,50,,,"기관, 장기",,
yield,50,,"대체하다, 산출하다, 양보하다 ","생산량, 산출량",,
credible,50,"믿을 수 있는, 받아들일 만한",,,,
ethics,50,,,"윤리, 윤리학, 도덕",,
mismatch,50,,,"불일치, 부조화",,
divorce,50,,"분리시키다, 단절시키다","단절, 이혼 ",,
leash,50,,가죽끈으로 매다,"목줄, 속박 ",,
sniff,50,,"냄새를 맡다, 코를 훌쩍이다",,,
distract,50,,"주의를 돌리다, 산만하게 하다",,,
renovate,50,,"보수하다, 개조하다",,,
accommodate,50,,"수용하다, 맞추다",,,
uneasy,50,"불안한, 어수선한",,,,
linger,50,,"머무르다, 남다",,,
conversational,50,"대화의, 의사소통의",,,,
stick,50,,"고수하다, 붙이다 ",막대기,,
counter,50,,"대응하다, 반박하다 ","판매대, 계산대",,
asset,50,,,"자산, 재산",,
inexhaustible,50,"무한한, 무궁무진한",,,,
loyalty,50,,,"충성심, 충실",,
extraordinary,50,"놀라운, 특별한",,,,
affirmation,50,,,"단언, 긍정",,
supervision,50,,,"감독, 보호",,
reluctantly,50,,,,,마지못해서
orbital,50,"궤도의, 궤도상의",,,,
enroll,50,,"입학하다, 등록하다",,,
horizontal,50,"수평의, 가로의",,,,
preheat,50,,예열하다,,,
lid,51,,,뚜껑,,
surface,51,,"나타나다, 드러나다","표면, 겉 ",,
stunning,51,굉장히 멋진,,,,
overlay,51,,덮어씌우다 ,덮어씌우는 것,,
supplant,51,,"대체하다, 대신하다",,,
fragmentation,51,,,"세분화, 분열, 파쇄",,
reinforce,51,,"강화하다, 보강하다, 증강하다",,,
sphere,51,,,"영역, 구체",,
distinction,51,,,"차이, 구분",,
overt,51,"공공연한, 명시적인",,,,
drag,51,,끌다,"방해물, 장애물 ",,
decay,51,,"부패하다, 썩다","쇠퇴, 부패 ",,
jar,51,,,"병, 물병",,
initial,51,"처음의, 초기의",,,,
predispose,51,,"성향을 갖게 하다, (성향에) 영향을 미치다",,,
sprout,51,,"싹이 트다, 발아하다 ","새싹, 새순",,
range,51,,"다양하다, 포함하다, (범위가) ~에 이르다","범위, 다양성 ",,
substance,51,,,물질,,
proficiency,51,,,"능숙함, 능력",,
stride,51,,성큼성큼 걷다,발걸음 ,,
pendulum,51,,,"진자, 추",,
attentive,51,"신경을 쓰는, 주의를 기울이는",,,,
rage,51,,,"분노, 격노",,
sheer,51,"완전한, 순전한",,,,
ingenious,51,"기발한, 독창적인",,,,
trial,51,,,"시도, 실험, 재판",,
seamlessly,51,,,,,"완벽하게, 매끄럽게"
spectacle,51,,,"구경거리, 장관",,
rescue,51,,"구조하다, 구하다",구조 ,,
paralyze,51,,"마비시키다, 무효가 되게 하다",,,
latest,52,"최신의, 최근의",,,,
desolate,52,"황량한, 적막한",,,,
board,52,,"탑승하다, 승선하다 ","위원회, 이사회",,
stare,52,,응시하다,"응시, 빤히 쳐다보기 ",,
scar,52,,흉터를 남기다 ,"상처, 흉터",,
attract,52,,"끌다, 끌어들이다",,,
resource,52,,,"(보통 복수로) 능력, 지략, 자원, 재원",,
stimulate,52,,"자극하다, 격려하다",,,
salient,52,"두드러진, 가장 중요한",,,,
disbelief,52,,,"불신, 믿기지 않음",,
furious,52,"격렬한, 몹시 화가 난",,,,
log,52,,"접속하다, 벌목하다, 기록하다 ","통나무, 일지",,
profile,52,,,"프로필, 옆 모습, 개요",,
dispute,52,,,"논쟁, 논란, 분쟁",,
attachment,52,,,"애착, 믿음, 부착, 첨부 파일",,
colleague,52,,,동료,,
crystalize,52,,"확고해지다, 결정화하다",,,
champion,52,,옹호하다 ,우승자,,
diversity,52,,,다양성,,
concede,52,,"인정하다, 수긍하다, 내주다",,,
surgeon,52,,,외과 의사,,
civilian,52,,,민간인,,
royalty,52,,,"저작권, 사용료, 왕족(들)",,
dexterity,52,,,재주,,
arousal,52,,,"흥분, 각성",,
testify,52,,"나타내다, 증명하다",,,
climactic,52,"클라이맥스의, 절정의",,,,
villain,52,,,"악당, 범죄자",,
disable,52,,"무력하게 하다, 망가뜨리다",,,
disarm,52,,무장 해제하다,,,
outright,53,"완전한, 명백한",,,,"완전히, 명백히 a. 완전한, 명백한"
domain,53,,,영역,,
inevitably,53,,,,,필연적으로
acceleration,53,,,가속(도),,
portable,53,"휴대가 쉬운, 휴대용의",,,,
characteristic,53,,,"특성, 특징",,
void,53,,,"공백, 빈 공간",,
aristocratic,53,"귀족의, 귀족적인",,,,
rhetorical,53,"수사학의, 수사적인, 미사여구식의",,,,
vinegar,53,,,식초,,
conformation,53,,,"형태, 구조",,
outsource,53,,"외주 제작하다, 외부에 위탁하다",,,
onlooker,53,,,"관찰자, 구경꾼",,
presumably,53,,,,,"아마, 짐작건대"
entity,53,,,"실체, 독립체, 존재",,
irrigation,53,,,"관개, 물을 끌어들임",,
stroll,53,,"거닐다, 산책하다 ","산책, (한가로이) 거닐기",,
overflow,53,,넘치다,,,
burst,53,,"가득하다, 터지다, 터뜨리다",,,
fairy,53,,,요정,,
settle,53,,"내려앉다, 해결하다, 자리를 잡다",,,
transparency,53,,,투명성,,
fairness,53,,,공정성,,
omnipresent,53,어디에나 있는,,,,
advertise,53,,"알리다, 광고하다, 홍보하다",,,
literate,53,글을 읽고 쓸 줄 아는,,,,
unprecedented,53,전례 없는,,,,
heritage,53,,,유산,,
nip,53,,"물다, 꼬집다","(재빨리 작게) 물기, 꼬집기 ",,
nourishment,53,,,"육성, 영양(분), 자양분",,
department,54,,,"학과, 부서",,
procrastination,54,,,"미루기, 지연, 꾸물거림",,
fascinating,54,"흥미로운, 매혹적인, 재미있는",,,,
authenticity,54,,,"진정성, 진짜임",,
imperative,54,반드시 해야 하는,,명령(문) ,,
serenity,54,,,"평온함, 고요함",,
nominally,54,,,,,"명목상, 명목상으로"
impart,54,,"알리다, 전하다",,,
misdeed,54,,,"범죄, 비행, 악행",,
dysfunction,54,,,"기능 장애, 역기능",,
pesticide,54,,,"살충제, 농약",,
disposal,54,,,"처리, 처분",,
inflammatory,54,"염증의, 선동적인",,,,
inanimate,54,무생물의,,,,
destined,54,운명인,,,,
amendment,54,,,(법 등의) 개정[수정],,
draft,54,,"초안을 작성하다, 징집하다 ","(아직 완성되지 않은) 원고, 초안",,
ratification,54,,,"비준, 인가, 승인",,
tactic,54,,,"전술, 전략",,
picturesque,54,"그림 같은, 생생한",,,,
infamous,54,악명 높은,,,,
accusation,54,,,"비난, 고발, 기소",,
imperial,54,"제국의, 황제의, 제국주의의",,,,
dissemination,54,,,"전파, 보급",,
constituent,54,,,"유권자, 주민, 구성 성분[요소]",,
unfold,54,,"펼치다, 전개되다",,,
supposition,54,,,추정(되는 생각),,
repertoire,54,,,"연주 목록, (한 사람이 할 수 있는) 모든 것",,
mess,54,,,엉망,,
monotonous,54,단조로운,,,,
resident,55,,,"입주민, 주민",,
complaint,55,,,"불만, 항의",,
vibration,55,,,진동,,
cooperation,55,,,"협조, 협력",,
spectacular,55,멋진,,,,
priority,55,,,"우선, 우선 사항",,
debit,55,,,"직불, 인출[출금]액",,
budget,55,,,예산,,
dedicate,55,,"할애하다, 헌신하다, 바치다",,,
infer,55,,추론하다,,,
nurture,55,,"키우다, 돌보다",,,
enhance,55,,향상하다,,,
multiple,55,"다수의, 다중의, 복수의",,,,
concise,55,간결한,,,,
bouquet,55,,,꽃다발,,
adorable,55,사랑스러운,,,,
pack,55,,"(짐을) 챙기다, 싸다 ","무리[떼], 묶음, 꾸러미",,
closet,55,,,옷장,,
melt,55,,녹다,,,
applaud,55,,박수 치다,,,
liquid,55,"액체의, 액체 형태의 ",,액체,,
outgrow,55,,"(~에 비해) 너무 크다, (~보다) 더 커지다[많아지다]",,,
customize,55,,개인이 원하는 대로 변경하다[만들다],,,
quality,55,,,"질, 특성, (사람의) 자질",,
delay,55,,"미루다, 지연시키다",,,
forecast,55,,예측[예보]하다,예보 ,,
layer,55,,,"겹, 층",,
gathering,55,,,"모임, 채집, 수집",,
departure,55,,,출발,,
shift,55,,"바꾸다, 옮기다, 이동하다",(교대) 근무 ,,
vision,56,,,"시력, 비전, 시야",,
trending,56,유행하는,,,,
outstanding,56,"우수한, 중요한",,,,
warranty,56,,,보증 기간,,
function,56,,(제대로) 작용하다[기능하다],기능 ,,
muscle,56,,,근육,,
waitlist,56,,,대기자 명단,,
inherit,56,,"(신체적 특성 등을 유전적으로) 물려받다, 상속받다",,,
fever,56,,,"열, 열기, 흥분",,
assign,56,,"할당하다, 배정하다, 배치하다",,,
deadline,56,,,마감일,,
litter,56,,"(쓰레기 등을) 버리다, 어지럽히다","(버려진) 쓰레기, 잔해 ",,
emphasize,56,,강조하다,,,
sigh,56,,한숨 쉬다 ,"한숨, 한숨 소리",,
recharge,56,,재충전하다,,,
misnomer,56,,,"잘못된 명칭, 부적절하게 붙여진 이름",,
rodent,56,,,설치류,,
minimize,56,,"최소화하다, 축소하다",,,
utilize,56,,"활용하다, 이용하다",,,
indispensable,56,"없어서는 안 될, 필수적인",,,,
limit,56,,제한하다,제한 ,,
submit,56,,제출하다,,,
invaluable,56,"귀중한, 매우 유용한",,,,
stain,56,,"얼룩지다, 더럽히다",얼룩 ,,
expire,56,,"기한이 지나다, 만료되다, 끝나다",,,
symbolize,56,,상징하다,,,
instrument,56,,,"악기, 기기",,
develop,56,,"발전시키다, 개발하다",,,
subscriber,56,,,"구독자, (정기적인 비용을 지불하는 서비스) 이용자[가입자]",,
uproot,56,,"뿌리째 뽑다, 오래 살던 곳에서 떠나다",,,
inaccessible,57,접근할 수 없는,,,,
sink,57,,가라앉다,"싱크대, 개수대 ",,
supplement,57,,,"보조제, 첨가물",,
checkup,57,,,검진,,
roam,57,,"돌아다니다, 거닐다",,,
notify,57,,"알리다, 통지하다",,,
priceless,57,"값진, 값을 매길 수 없는",,,,
potential,57,"잠재적인, 가능성이 있는 ",,"잠재력, 가능성",,
wilderness,57,,,"야생, 황야, 황무지",,
consent,57,,,"동의, 허",,
essential,57,필수적인 ,,"(보통 복수로) 필수 요소, 필수적인 것",,
gear,57,,,장비,,
posture,57,,,(특히 스포츠 경기 때의) 자세,,
trail,57,,"(경기·대회에서) 지고 있다, 끌다, 추적하다",흔적 ,,
sensitive,57,민감한,,,,
mindful,57,신경을 쓰는,,,,
original,57,"원래의, 독창적인, 원본의 ",,"원본, 원작",,
entry,57,,,"출품작, 참가, 입장",,
advanced,57,"첨단의, 개선된, 선진의, 상급의",,,,
shyness,57,,,수줍음,,
socialize,57,,"어울리다, 사회화시키다, 사귀다",,,
complement,57,,보완하다,,,
interact,57,,상호 작용을 하다,,,
drill,57,,"반복 연습시키다, (드릴로) 구멍을 뚫다","훈련, 반복 연습, 드릴, 송곳 ",,
appliance,57,,,"가전제품, (가정용) 기기",,
air,57,,방송되다 ,"허공, 공중",,
last,57,"지난, 마지막의","진행되다, 지속되다 ",,,
expert,57,,,전문가,,
utensil,57,,,"(주방) 도구, 식기류, 용구",,
observation,57,,,"관측, 관찰",,
feed,58,,"먹이를 주다, 먹이다 ","(아기의) 우유, 먹이",,
exposure,58,,,"노출, 폭로",,
insufficient,58,불충분한,,,,
regulate,58,,"조절하다, 통제하다",,,
soak,58,,"담그다, 만끽하다",,,
twist,58,,"삐다, 비틀다",,,
committee,58,,,위원회,,
theme,58,,,주제,,
screen,58,,"상영하다, 차단하다, 가리다 ","칸막이, 화면",,
refugee,58,,,난민,,
transfer,58,,"환승하다, 옮기다 ","환승, 이동",,
layout,58,,,"(책·정원·건물 등의) 배치, 레이아웃",,
usage,58,,,"사용량, 사용, 용법",,
seriousness,58,,,"심각성, 진지함",,
acceptable,58,"받아들일 수 있는, 적합한",,,,
risk,58,,"각오하다, 위험을 무릅쓰다",위험 ,,
incident,58,,,"사고, 사건",,
overlook,58,,간과하다,,,
germ,58,,,"세균, 병균",,
damp,58,"젖은, 축축한",,,,
rating,58,,,"평점, 평가, 등급",,
dye,58,,염색하다 ,"염료, 염색제",,
remarkable,58,"놀라운, 주목할 만한",,,,
label,58,,"이름 붙이다, 라벨을 붙이다","라벨, 표, 꼬리표 ",,
thoroughly,58,,,,,철저하게
fatigue,58,,,피로,,
prestigious,58,명망 있는,,,,
separate,58,분리된 ,"구분하다, 분리하다",,,
direction,58,,,방향,,
defeat,58,,"패배시키다, 물리치다",패배 ,,
prohibit,59,,금지하다,,,
hazard,59,,,"위험성, 재해",,
remove,59,,"제거하다, 치우다",,,
temperature,59,,,온도,,
circulate,59,,"순환시키다, 퍼지다, 유통하다",,,
install,59,,"설치하다, 설비하다",,,
bulletin,59,,,"게시, 회보",,
complex,59,복잡한 ,,복합 단지,,
appointment,59,,,"예약, 예약 일정, 약속",,
immerse,59,,"몰입하다, (액체 속에) 담그다",,,
resistant,59,"방지하는, (~에) 강한, 저항하는",,,,
damage,59,,"훼손하다, 피해를 입히다","피해, 손상 ",,
generate,59,,"발생시키다, 만들어 내다, 생산하다",,,
nutrition,59,,,"영양, 영양분",,
glow,59,,"(강한 감정 따위로) 가슴이 뿌듯하다, 빛나다",,,
initiative,59,,,"계획, 주도권",,
tailor,59,,"맞추다, 조정하다 ",재단사,,
perspective,59,,,"시각, 관점, 원근법",,
distance,59,,,"먼 곳, 거리",,
carbohydrate,59,,,탄수화물,,
conscious,59,"신경을 쓰는, 의식의",,,,
educate,59,,교육하다,,,
ingredient,59,,,재료,,
heal,59,,"낫다, 치료하다",,,
outing,59,,,"나들이, 소풍",,
fare,59,,,요금,,
medicinal,59,약용의,,,,
rigorous,59,"격렬한, 엄격한",,,,
property,59,,,"건물, 소유(물), 재산, 특성",,
remedy,59,,,"치유, 해결책",,
anticipate,60,,"기대하다, 예상하다",,,
meditation,60,,,"명상, 묵상",,
rough,60,"거친, 난폭한",,,,"험하게 a. 거친, 난폭한"
errand,60,,,"볼일, 심부름",,
expense,60,,,"경비, 비용",,
pricey,60,비싼,,,,
confirm,60,,"확인하다, 확정하다",,,
stuffy,60,답답한,,,,
prototype,60,,,"시제품, 원형",,
overview,60,,,"개요, 개관",,
surround,60,,"둘러싸다, 에워싸다",,,
pharmacy,60,,,"약국, 약학",,
agriculture,60,,,농업,,
invitation,60,,,초대(장),,
finalize,60,,"확정하다, 마무리하다, 완결하다",,,
humidifier,60,,,가습기,,
mist,60,,,"안개, 분무, 미스트",,
dim,60,"희미한, 어둑한 ","어두워지다, 약해지다",,,
rash,60,,,발진,,
extinction,60,,,"멸종, 소멸",,
persuasive,60,설득력 있는,,,,
star,60,,"주연을 맡다, 주연을 맡기다",,,
astronaut,60,,,우주 비행사,,
upcoming,60,"다가오는, 곧 있을",,,,
material,60,,,"재료, 재질",,
reminder,60,,,상기시켜 주는 메모[것],,
purifier,60,,,정화 장치,,
dispense,60,,"내주다, (약사가 약을) 조제하다, 나누어 주다",,,
outlet,60,,,"배출구, 콘센트, 할인점",,
subtitle,60,,,자막,,
